hidden_layers,dropout_rate,learning_rate,batch_size,optimizer,l2_reg,use_batch_norm,accuracy,f1_score,val_loss,epochs_trained,time_seconds,architecture
"[128, 64, 32, 16]",0.2,0.001,64,adam,0.0,True,0.8839884947267498,0.883604380501265,0.26404231786727905,100,23.72749352455139,"[128, 64, 32, 16]"
"[256, 128, 64]",0.2,0.0005,64,rmsprop,0.0,False,0.5369127516778524,0.5325851189174224,0.6777144074440002,10,3.4600331783294678,"[256, 128, 64]"
"[128, 64, 32]",0.2,0.001,16,rmsprop,0.001,False,0.5186960690316395,0.506267315649404,0.6883814930915833,10,4.875342607498169,"[128, 64, 32]"
"[64, 32]",0.3,0.001,16,adam,0.01,False,0.4956855225311601,0.49239713233386007,0.924521267414093,10,5.8633201122283936,"[64, 32]"
"[64, 64, 64]",0.2,0.0005,16,rmsprop,0.01,False,0.44870565675934804,0.44679797066232957,1.0121036767959595,10,7.614607095718384,"[64, 64, 64]"
"[128, 64]",0.5,0.001,16,adam,0.0,True,0.4534995206136146,0.4447512175354881,0.8379844427108765,10,5.305186748504639,"[128, 64]"
"[128, 64, 32]",0.4,0.001,32,rmsprop,0.0,True,0.439117929050815,0.4320411779225483,0.8193569183349609,10,4.4657981395721436,"[128, 64, 32]"
"[64, 32]",0.4,0.0005,64,adam,0.0,False,0.39884947267497606,0.3918941993566924,1.0141886472702026,10,2.188424587249756,"[64, 32]"
"[128, 64, 32, 16]",0.4,0.001,64,rmsprop,0.0,False,0.3940556088207095,0.3839160416580552,1.0484176874160767,10,2.4421908855438232,"[128, 64, 32, 16]"
"[128, 64]",0.5,0.0005,128,adam,0.001,True,0.39022051773729627,0.3733490109137424,1.0824530124664307,10,2.513352394104004,"[128, 64]"
"[128, 64, 32, 16]",0.2,0.0001,32,adam,0.0,False,0.3710450623202301,0.3696453439146018,1.0327301025390625,10,3.448843479156494,"[128, 64, 32, 16]"
"[256, 128, 64]",0.4,0.0001,32,rmsprop,0.0,True,0.38926174496644295,0.3567227153197959,0.9172427654266357,10,3.950312614440918,"[256, 128, 64]"
"[64, 64, 64]",0.3,0.0001,16,adam,0.01,True,0.3844678811121764,0.35051196858479355,2.503574848175049,10,6.440229654312134,"[64, 64, 64]"
"[128, 64]",0.5,0.0001,64,adam,0.0,False,0.3576222435282838,0.3461836854679738,1.0642051696777344,10,3.673816442489624,"[128, 64]"
"[128, 64, 32, 16]",0.4,0.001,64,rmsprop,0.0,False,0.38734419942473636,0.33561377154758415,1.043541669845581,10,2.383168935775757,"[128, 64, 32, 16]"
"[64, 64, 64]",0.4,0.0001,16,adam,0.01,False,0.3231064237775647,0.3154201503576608,2.10229229927063,10,4.88597297668457,"[64, 64, 64]"
"[128, 64]",0.4,0.0001,128,rmsprop,0.001,True,0.3144774688398849,0.28948703669232384,1.2612054347991943,10,2.162273645401001,"[128, 64]"
"[128, 64, 32, 16]",0.2,0.0001,16,rmsprop,0.0,True,0.3259827420901246,0.2844311335179595,1.037332534790039,10,7.2459352016448975,"[128, 64, 32, 16]"
"[128, 64, 32, 16]",0.5,0.0001,16,rmsprop,0.001,False,0.3432406519654842,0.2570825386045553,1.2826621532440186,10,5.058042764663696,"[128, 64, 32, 16]"
"[64, 32]",0.4,0.0001,32,adam,0.01,False,0.34036433365292423,0.2442169089500831,1.7687627077102661,10,3.022444486618042,"[64, 32]"
