Country,model,n_predictions,years,mae,rmse,worst_case,mean_error,std_error
USA,Ridge,23,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2013, 2014, 2015",262.4701477803846,573.7921302882405,1956.019948876571,250.24663432188336,516.3468125119849
THA,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",4.283337961847099,6.449641110329943,16.918918579615955,4.283337961847099,4.821917290524339
DEU,Ridge,26,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4.155554993741131,4.97071092781155,10.714780451697166,-2.2919995698313134,4.410748813949649
SWE,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",3.5121489616552033,4.406366766117248,10.347986804012404,3.5121489616552033,2.660991873096731
NLD,Ridge,26,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2013, 2014, 2015, 2016, 2017, 2018",3.520225280450217,4.511364589772982,9.64854061565648,3.30123635126973,3.074776254447283
SVK,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",2.706580230197967,3.5173516917221397,8.37360001263823,-0.3622183200439096,3.4986512846931697
LTU,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",5.274373390932257,5.448781444268201,8.165840275935915,-3.9019483599898765,3.803158979502931
DNK,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",6.09870918277353,6.213177702046975,7.554608778985674,6.09870918277353,1.1871493002851612
UKR,Ridge,26,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4.066846395831667,4.253825782959572,6.496447675611148,4.066846395831667,1.247314789651189
CHE,Ridge,9,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999",1.7413147796071016,2.439242126698901,5.909045522195861,1.582525536735207,1.856209869126743
