Year,model,rmse,worst_case,mae,n_countries
1991,Ridge,3.670474435305499,10.347986804012404,2.696133612040161,34
1991,XGBoost,2.2421147868237314,5.794671198643414,1.7462149017035937,34
1992,Ridge,3.8544197272129956,16.918918579615955,2.3647128794546797,34
1992,XGBoost,1.8550897850205696,4.856539030737736,1.4702511175283777,34
1993,Ridge,3.118282086958642,8.165840275935915,2.2935146950801992,34
1993,XGBoost,1.8278269399072804,4.897788052905924,1.4477714319889252,34
1994,Ridge,1.921220569865514,4.887376039938718,1.5247201071455112,34
1994,XGBoost,1.434079783349867,2.885060779873726,1.209083892257949,34
1995,Ridge,2.3350081133682172,5.601040885895558,1.8936124790918305,34
1995,XGBoost,1.661358340914388,4.208811627908233,1.2986856868511705,34
1996,Ridge,2.880948117343004,7.554608778985674,2.307959455228762,34
1996,XGBoost,2.3620515292473714,6.650493280300395,1.7678665252287562,34
1997,Ridge,2.604861615266575,7.079216644363906,1.9973768217424401,34
1997,XGBoost,2.571039942983763,8.994247442246262,1.8676776048309398,34
1998,Ridge,2.5740451841101555,6.848313235852438,1.9243783356443545,34
1998,XGBoost,2.8357071276215113,11.191953047885931,1.806487137352964,34
1999,Ridge,2.3283939724054834,4.995838319687033,1.8759332525102368,34
1999,XGBoost,2.4236459633988177,7.401477462549792,1.7600230194830506,34
2000,Ridge,8.743158265564277,26.960978180123316,4.308870482977686,10
2000,XGBoost,2.869574048900445,5.248552330842074,2.591144769378508,10
2001,Ridge,6.556758446704145,19.07403491829465,3.7925663884811023,10
2001,XGBoost,4.131657349606527,10.180507120280367,3.091177349135279,10
2002,Ridge,5.852098364291699,16.252073910217455,3.5949176700342407,10
2002,XGBoost,4.885794732408089,12.138294314785073,3.7609303464628683,10
2003,Ridge,4.9341462448911875,13.3020996168719,3.1170810391668655,10
2003,XGBoost,4.697119527017063,10.152049270511668,4.160838732612481,10
2004,Ridge,5.145618626016291,12.560799209395633,3.6241709305137526,10
2004,XGBoost,2.9877500438588296,5.996852326999374,2.6072815743171573,10
2005,Ridge,5.189582793224222,11.869813619459205,3.9268023429666443,10
2005,XGBoost,3.7741312421166815,6.722711825294425,3.0127324352632554,10
2006,Ridge,5.694057647484398,10.137735846674651,4.587021220516072,10
2006,XGBoost,5.257018929103313,8.86262301225139,4.4571692103404015,10
2007,Ridge,6.214751378974458,10.462963930398264,4.973036315145016,10
2007,XGBoost,4.600730039320547,7.869332709873504,3.731064631683414,10
2008,Ridge,618.5698359946363,1956.019948876571,199.58419910131198,10
2008,XGBoost,4.669996410947896,8.72392992050166,3.836452191105829,10
2009,Ridge,278.82221479907304,881.6450224006448,90.9846293376481,10
2009,XGBoost,3.731297749555606,6.306156649270491,3.07120199891871,10
2012,Ridge,197.00534968369828,590.931371000327,68.3061038847406,9
2012,XGBoost,5.45463323074676,8.614112620435407,4.7711136454889775,9
2013,Ridge,81.41294438620659,244.10149185800145,29.418888926223026,9
2013,XGBoost,4.776991470368385,8.229659860960254,4.007844683581835,9
2014,Ridge,440.8147869683869,1322.418094689818,149.0441571807162,9
2014,XGBoost,2.6022220725447185,4.445277248240018,2.2485055737155997,9
2015,Ridge,299.9061500520123,899.7010476216441,101.46767559284345,9
2015,XGBoost,2.9989761791383525,4.108468080576017,2.7425106670941783,9
2016,Ridge,3.050519913662817,4.946146798559624,2.7064857748416404,8
2016,XGBoost,4.8248583464204025,8.727751452830972,3.6392619461645594,8
2017,Ridge,3.267653370846412,4.884225521391005,2.9053641388404063,8
2017,XGBoost,4.328416671156147,7.391484432612458,3.2204313294359004,8
2018,Ridge,2.7012687360710275,4.089699423412093,2.447168372644585,8
2018,XGBoost,3.011166218444824,5.394361841226498,2.369847308332954,8
